10736,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:359.9375,Camera:0
10775,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:359.9375,Camera:0
10811,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
10847,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:359.9375,Camera:0
10885,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:   0.0,ay:-0.0044444444444444444,az:-0.0011111111111111111,q:359.9375,Camera:0
10921,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:0
10956,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:0.0022222222222222222,ay:0.0033333333333333335,az:   0.0,q:359.9375,Camera:0
10990,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:0.0011111111111111111,q:   0.0,Camera:0
11025,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.016666666666666666,ay:0.005555555555555556,az:0.006666666666666667,q:   0.0,Camera:0
11061,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:0.015555555555555555,ay:-0.006666666666666667,az:-0.0011111111111111111,q:359.9375,Camera:0
11095,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:  0.01,ay:-0.008888888888888889,az:-0.0033333333333333335,q:359.9375,Camera:0
11130,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.0044444444444444444,ay:0.0033333333333333335,az:   0.0,q:359.9375,Camera:0
11165,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.0033333333333333335,ay:-0.005555555555555556,az:-0.0033333333333333335,q:359.9375,Camera:0
11200,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.0033333333333333335,ay:0.0033333333333333335,az:0.0022222222222222222,q:359.9375,Camera:0
