5218,state:7,Time:15:18:59,Lat:0.00000000,Lng:0.00000000,ax:  0.01,ay:-0.0011111111111111111,az:-0.005555555555555556,q:   0.0,rV:     0,lV:     0,Camera:0
19857,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
19893,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19931,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19967,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
20004,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
20042,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
20079,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:   0.0,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
20114,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
20152,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:0.0033333333333333335,q:0.0625,rV:    55,lV:    85,Camera:0
20187,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
